ID_result,#,0_1,0_2,0_3,0_4,0_5,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,5_1,5_2,5_3,5_4,5_5,10_1,10_2,10_3,10_4,10_5,20_1,20_2,20_3,20_4,20_5
,2,17.83792571,16.03146676,18.07991092,14.95387415,15.84043122,18.01922689,17.33972625,23.04163977,21.43040499,16.94804654,16.49914807,19.24706486,22.07771037,21.09206953,18.49085186,18.37939565,21.77136368,20.10996254,12.74225526,15.86382011,20.68573246,20.1651117,24.9113468,18.14842176,15.89081995,17.77751519,21.966491,19.42640851,19.18205778,15.58177269
,3,14.2867237,12.39380686,15.65721751,13.41112529,13.6859126,14.95614166,15.1524196,21.23248529,19.62629567,13.9499624,12.25466036,16.25332768,18.76046795,18.36046491,16.08679639,15.12402975,19.53253168,16.82094619,12.28968381,12.94102005,18.0865579,16.96104169,22.33256196,14.36730499,13.1599118,13.58283535,18.2097251,16.09840062,16.21185608,13.6166431
,4,13.51453383,11.74651788,13.67316529,11.19032355,12.67525942,13.88204328,12.77129387,18.41486543,17.3789454,13.34281406,12.09797559,14.71900836,16.85913013,16.47622582,14.436811,13.69445851,16.65796053,15.14401933,10.21665942,11.98406635,16.19144952,15.98154419,19.13161816,13.63099913,12.07075583,13.47929627,17.36578855,15.1037005,15.60160237,12.15561964
parent drug,5,0,5.77E-05,0,0,0,0.863167162,0.764428217,0.924130098,0.798263061,0.811946713,2.426131255,2.076041665,1.78769445,1.724664565,1.645272885,5.60042715,5.121308862,5.256386072,4.886894365,5.740013271,12.39607844,12.3355303,12.76488773,12.74346112,12.86238391,29.69315098,29.47427476,27.53694779,27.64044646,26.59812327
,6,8.964471867,7.936292886,9.493738583,8.521423019,9.012328227,8.815989325,9.236525271,13.26078331,12.16996383,9.069605903,7.721503933,10.34167772,11.83538812,11.02034523,10.52527587,9.623093406,11.9521689,10.53544332,8.434068851,7.88179195,11.71716958,10.8177033,14.26581978,9.191585165,8.656658628,8.585076716,11.95037363,10.59536888,10.83167444,9.074340519
,7,7.225983897,6.146406854,6.95419074,6.184311356,7.432019166,7.17710401,6.82465434,10.14337297,9.319422696,6.52531763,5.772053533,8.14119845,8.579251003,7.550861845,7.740194463,7.342818072,8.764136915,7.340250469,6.424636963,5.455673037,8.23129068,7.565086006,10.78178759,6.391835483,6.105560311,6.309677421,8.346625808,7.536207781,8.127693705,6.461694809
,8,6.959205488,6.238589559,7.427907805,6.40261876,6.341795938,7.581598487,7.809739777,11.06293713,9.890210816,7.435864227,6.4147647,8.672884622,9.902298635,9.366413963,8.59329882,7.998096527,10.24620387,9.031682049,6.161285756,6.779468412,9.760632003,9.370114586,12.08809776,7.814978581,6.858202171,7.179169477,9.850681243,8.639502809,8.68436551,7.152431934
,10,11.06808208,9.7522441,12.31439467,9.330465551,8.968290406,10.27859502,10.22252976,12.38455767,11.77694781,10.44209329,9.567135122,9.969696533,11.53292176,11.89939878,10.04743387,10.35858765,12.1054448,11.04747639,5.921874829,9.91322019,10.30605276,10.34345297,12.23418656,9.99968374,8.420310306,9.061382276,10.88146207,9.528321804,8.638415219,7.649206517
,11,5.17143043,5.164073441,6.987802203,5.646873329,5.173222985,5.622913928,5.327015941,6.91200297,5.826509934,4.938695489,4.852425353,5.400751562,5.674036176,5.614334464,5.073016386,5.207656812,5.435566562,4.962015381,4.518140763,4.701621953,5.11814009,4.663428682,5.88001734,4.363848382,4.330927172,3.997439641,4.809037887,4.305829389,4.60001003,4.064511688
,12,2.504893387,3.302587914,4.744206477,6.179349872,4.836522514,3.554497066,4.068614333,4.492439235,4.592858483,6.405112102,5.645465431,6.000871102,3.886699688,2.886674893,6.904064315,6.032918603,3.763996668,5.693878994,20.63174456,7.152185747,7.208369283,6.167134359,4.947720972,8.795326909,7.123262956,7.091994705,5.981417387,6.867749501,8.705075789,9.481936077
,13,3.90303213,3.498544966,4.276364289,3.652074057,3.723500722,4.227737973,4.342710451,6.325105138,5.593504565,4.200061819,3.552036696,4.94510315,5.624024007,5.232445089,4.911576372,4.596095988,5.690901364,5.049631599,3.694871939,3.853549995,5.578843221,5.347725557,6.829316918,4.466103752,3.925069969,4.143783983,5.638936161,5.064362568,5.121808363,4.209750748
